s1,s2,s3,s4,s5,total,obtained,percentage,grade
80,94,81,89,82,500,426,85.2,A
95,80,93,99,85,500,452,90.4,A+
98,91,83,91,99,500,462,92.4,A+
86,95,85,84,93,500,443,88.6,A
80,84,90,96,99,500,449,89.8,A
95,93,98,82,92,500,460,92.0,A+
85,97,80,94,81,500,437,87.4,A
92,82,81,86,94,500,435,87.0,A
80,89,92,83,99,500,443,88.6,A
99,96,95,95,92,500,477,95.39999999999999,A+
92,82,94,98,88,500,454,90.8,A+
94,92,98,98,81,500,463,92.60000000000001,A+
93,89,95,98,88,500,463,92.60000000000001,A+
85,93,89,81,99,500,447,89.4,A
91,99,95,87,92,500,464,92.80000000000001,A+
80,83,90,98,91,500,442,88.4,A
91,84,82,97,91,500,445,89.0,A
85,91,83,84,86,500,429,85.8,A
84,82,80,83,93,500,422,84.39999999999999,A
95,92,93,87,90,500,457,91.4,A+
80,91,89,86,93,500,439,87.8,A
86,91,94,91,98,500,460,92.0,A+
88,81,86,81,88,500,424,84.8,A
94,86,98,90,81,500,449,89.8,A
97,83,84,84,90,500,438,87.6,A
97,89,84,95,94,500,459,91.8,A+
98,86,81,97,85,500,447,89.4,A
82,84,84,88,93,500,431,86.2,A
83,95,93,96,87,500,454,90.8,A+
93,89,88,90,87,500,447,89.4,A
87,81,93,89,83,500,433,86.6,A
80,97,83,92,88,500,440,88.0,A
82,90,83,91,89,500,435,87.0,A
87,97,80,90,94,500,448,89.60000000000001,A
89,86,88,90,89,500,442,88.4,A
97,89,95,92,86,500,459,91.8,A+
81,82,99,96,97,500,455,91.0,A+
85,94,89,97,94,500,459,91.8,A+
82,91,97,90,95,500,455,91.0,A+
95,98,99,88,85,500,465,93.0,A+
87,93,91,82,99,500,452,90.4,A+
88,85,83,92,80,500,428,85.6,A
89,95,99,93,94,500,470,94.0,A+
92,96,87,81,84,500,440,88.0,A
96,80,84,92,81,500,433,86.6,A
81,85,99,92,82,500,439,87.8,A
80,89,90,92,88,500,439,87.8,A
91,92,83,84,88,500,438,87.6,A
83,87,88,99,99,500,456,91.2,A+
88,92,96,95,94,500,465,93.0,A+
85,80,85,95,98,500,443,88.6,A
80,83,81,94,87,500,425,85.0,A
90,84,84,89,93,500,440,88.0,A
81,92,87,93,87,500,440,88.0,A
91,96,95,93,95,500,470,94.0,A+
96,89,80,90,90,500,445,89.0,A
87,96,94,83,88,500,448,89.60000000000001,A
89,99,81,87,84,500,440,88.0,A
81,84,85,87,84,500,421,84.2,A
96,92,90,82,98,500,458,91.60000000000001,A+
81,87,95,90,95,500,448,89.60000000000001,A
81,88,86,86,88,500,429,85.8,A
93,98,98,92,96,500,477,95.39999999999999,A+
92,85,99,94,81,500,451,90.2,A+
86,83,93,82,86,500,430,86.0,A
96,90,84,99,98,500,467,93.4,A+
96,98,92,84,89,500,459,91.8,A+
89,80,89,99,94,500,451,90.2,A+
94,92,94,85,89,500,454,90.8,A+
97,84,82,86,97,500,446,89.2,A
97,94,91,93,97,500,472,94.39999999999999,A+
98,81,87,92,87,500,445,89.0,A
97,85,94,98,80,500,454,90.8,A+
90,98,85,90,85,500,448,89.60000000000001,A
91,94,86,97,98,500,466,93.2,A+
89,82,99,81,80,500,431,86.2,A
83,89,92,97,94,500,455,91.0,A+
87,92,94,93,93,500,459,91.8,A+
85,91,98,81,99,500,454,90.8,A+
92,92,99,87,95,500,465,93.0,A+
88,88,93,88,97,500,454,90.8,A+
87,81,80,88,94,500,430,86.0,A
86,87,98,82,80,500,433,86.6,A
91,87,90,98,97,500,463,92.60000000000001,A+
80,80,81,88,89,500,418,83.6,A
96,82,86,88,86,500,438,87.6,A
92,84,92,89,90,500,447,89.4,A
91,98,92,94,84,500,459,91.8,A+
81,82,84,88,98,500,433,86.6,A
86,96,82,99,91,500,454,90.8,A+
92,80,95,89,92,500,448,89.60000000000001,A
94,83,96,89,89,500,451,90.2,A+
94,80,81,91,88,500,434,86.8,A
95,92,81,92,92,500,452,90.4,A+
80,92,94,90,88,500,444,88.8,A
85,96,81,87,91,500,440,88.0,A
89,87,81,80,92,500,429,85.8,A
83,98,91,85,92,500,449,89.8,A
90,94,88,87,94,500,453,90.60000000000001,A+
93,85,82,97,81,500,438,87.6,A
96,96,87,98,89,500,466,93.2,A+
99,98,87,97,89,500,470,94.0,A+
85,80,92,81,94,500,432,86.4,A
98,99,82,99,92,500,470,94.0,A+
91,80,83,89,95,500,438,87.6,A
99,98,93,80,99,500,469,93.8,A+
87,83,98,94,96,500,458,91.60000000000001,A+
92,94,96,89,96,500,467,93.4,A+
95,87,80,82,87,500,431,86.2,A
92,98,92,93,82,500,457,91.4,A+
84,87,92,97,89,500,449,89.8,A
83,84,80,99,90,500,436,87.2,A
88,81,88,85,81,500,423,84.6,A
94,90,98,86,91,500,459,91.8,A+
85,90,93,88,82,500,438,87.6,A
96,83,83,84,80,500,426,85.2,A
88,94,95,98,88,500,463,92.60000000000001,A+
