s1,s2,s3,s4,s5,marks obtained,marks_obtained,total
80,94,81,89,82,426,426,500
95,80,93,99,85,452,452,500
98,91,83,91,99,462,462,500
86,95,85,84,93,443,443,500
80,84,90,96,99,449,449,500
95,93,98,82,92,460,460,500
85,97,80,94,81,437,437,500
92,82,81,86,94,435,435,500
80,89,92,83,99,443,443,500
99,96,95,95,92,477,477,500
92,82,94,98,88,454,454,500
94,92,98,98,81,463,463,500
93,89,95,98,88,463,463,500
85,93,89,81,99,447,447,500
91,99,95,87,92,464,464,500
80,83,90,98,91,442,442,500
91,84,82,97,91,445,445,500
85,91,83,84,86,429,429,500
84,82,80,83,93,422,422,500
95,92,93,87,90,457,457,500
80,91,89,86,93,439,439,500
86,91,94,91,98,460,460,500
88,81,86,81,88,424,424,500
94,86,98,90,81,449,449,500
97,83,84,84,90,438,438,500
97,89,84,95,94,459,459,500
98,86,81,97,85,447,447,500
82,84,84,88,93,431,431,500
83,95,93,96,87,454,454,500
93,89,88,90,87,447,447,500
87,81,93,89,83,433,433,500
80,97,83,92,88,440,440,500
82,90,83,91,89,435,435,500
87,97,80,90,94,448,448,500
89,86,88,90,89,442,442,500
97,89,95,92,86,459,459,500
81,82,99,96,97,455,455,500
85,94,89,97,94,459,459,500
82,91,97,90,95,455,455,500
95,98,99,88,85,465,465,500
87,93,91,82,99,452,452,500
88,85,83,92,80,428,428,500
89,95,99,93,94,470,470,500
92,96,87,81,84,440,440,500
96,80,84,92,81,433,433,500
81,85,99,92,82,439,439,500
80,89,90,92,88,439,439,500
91,92,83,84,88,438,438,500
83,87,88,99,99,456,456,500
88,92,96,95,94,465,465,500
85,80,85,95,98,443,443,500
80,83,81,94,87,425,425,500
90,84,84,89,93,440,440,500
81,92,87,93,87,440,440,500
91,96,95,93,95,470,470,500
96,89,80,90,90,445,445,500
87,96,94,83,88,448,448,500
89,99,81,87,84,440,440,500
81,84,85,87,84,421,421,500
96,92,90,82,98,458,458,500
81,87,95,90,95,448,448,500
81,88,86,86,88,429,429,500
93,98,98,92,96,477,477,500
92,85,99,94,81,451,451,500
86,83,93,82,86,430,430,500
96,90,84,99,98,467,467,500
96,98,92,84,89,459,459,500
89,80,89,99,94,451,451,500
94,92,94,85,89,454,454,500
97,84,82,86,97,446,446,500
97,94,91,93,97,472,472,500
98,81,87,92,87,445,445,500
97,85,94,98,80,454,454,500
90,98,85,90,85,448,448,500
91,94,86,97,98,466,466,500
89,82,99,81,80,431,431,500
83,89,92,97,94,455,455,500
87,92,94,93,93,459,459,500
85,91,98,81,99,454,454,500
92,92,99,87,95,465,465,500
88,88,93,88,97,454,454,500
87,81,80,88,94,430,430,500
86,87,98,82,80,433,433,500
91,87,90,98,97,463,463,500
80,80,81,88,89,418,418,500
96,82,86,88,86,438,438,500
92,84,92,89,90,447,447,500
91,98,92,94,84,459,459,500
81,82,84,88,98,433,433,500
86,96,82,99,91,454,454,500
92,80,95,89,92,448,448,500
94,83,96,89,89,451,451,500
94,80,81,91,88,434,434,500
95,92,81,92,92,452,452,500
80,92,94,90,88,444,444,500
85,96,81,87,91,440,440,500
89,87,81,80,92,429,429,500
83,98,91,85,92,449,449,500
90,94,88,87,94,453,453,500
93,85,82,97,81,438,438,500
96,96,87,98,89,466,466,500
99,98,87,97,89,470,470,500
85,80,92,81,94,432,432,500
98,99,82,99,92,470,470,500
91,80,83,89,95,438,438,500
99,98,93,80,99,469,469,500
87,83,98,94,96,458,458,500
92,94,96,89,96,467,467,500
95,87,80,82,87,431,431,500
92,98,92,93,82,457,457,500
84,87,92,97,89,449,449,500
83,84,80,99,90,436,436,500
88,81,88,85,81,423,423,500
94,90,98,86,91,459,459,500
85,90,93,88,82,438,438,500
96,83,83,84,80,426,426,500
88,94,95,98,88,463,463,500
94,98,94,99,95,480,480,500
90,87,81,89,88,435,435,500
97,81,88,98,98,462,462,500
91,93,99,94,89,466,466,500
94,95,83,88,89,449,449,500
87,83,87,96,90,443,443,500
94,94,95,99,96,478,478,500
92,91,91,84,95,453,453,500
88,91,91,95,86,451,451,500
80,87,88,87,92,434,434,500
93,85,94,83,91,446,446,500
81,84,91,90,96,442,442,500
93,94,96,95,80,458,458,500
92,85,81,86,88,432,432,500
94,88,98,84,99,463,463,500
91,94,82,96,88,451,451,500
98,97,82,91,94,462,462,500
91,96,88,90,98,463,463,500
80,97,98,80,91,446,446,500
83,89,96,89,80,437,437,500
96,84,90,81,97,448,448,500
92,80,89,98,80,439,439,500
83,83,83,81,97,427,427,500
97,82,82,88,84,433,433,500
98,93,85,97,80,453,453,500
96,98,97,83,84,458,458,500
88,86,92,91,84,441,441,500
87,95,88,90,88,448,448,500
91,95,85,91,81,443,443,500
89,86,95,86,83,439,439,500
87,81,87,89,90,434,434,500
82,81,83,98,90,434,434,500
89,83,92,97,89,450,450,500
81,93,90,98,91,453,453,500
81,94,91,86,93,445,445,500
94,82,80,82,80,418,418,500
80,98,91,87,98,454,454,500
80,89,93,96,98,456,456,500
89,92,93,97,81,452,452,500
85,82,85,84,92,428,428,500
92,93,91,82,94,452,452,500
95,94,81,95,81,446,446,500
85,89,88,90,82,434,434,500
81,97,96,99,86,459,459,500
85,89,88,80,98,440,440,500
94,95,81,80,88,438,438,500
84,83,83,90,98,438,438,500
91,87,82,95,96,451,451,500
97,91,82,94,97,461,461,500
89,89,93,93,98,462,462,500
87,81,92,97,81,438,438,500
84,83,99,85,97,448,448,500
83,85,82,83,92,425,425,500
97,90,90,85,87,449,449,500
84,83,97,82,93,439,439,500
84,87,89,87,86,433,433,500
91,97,90,81,90,449,449,500
83,95,94,94,84,450,450,500
97,87,80,95,98,457,457,500
86,97,83,95,86,447,447,500
80,97,93,82,94,446,446,500
91,94,90,87,95,457,457,500
91,94,86,93,91,455,455,500
99,87,90,89,80,445,445,500
80,92,95,90,93,450,450,500
84,99,99,97,97,476,476,500
99,90,92,95,87,463,463,500
90,96,95,97,95,473,473,500
81,99,98,83,98,459,459,500
87,86,92,85,97,447,447,500
85,83,87,86,92,433,433,500
85,93,88,83,94,443,443,500
90,94,84,80,94,442,442,500
83,92,83,95,99,452,452,500
98,80,99,93,87,457,457,500
83,88,82,99,94,446,446,500
98,90,95,90,96,469,469,500
87,85,99,89,91,451,451,500
96,88,96,99,92,471,471,500
94,85,88,94,92,453,453,500
96,88,92,86,90,452,452,500
85,99,86,89,99,458,458,500
99,96,88,97,92,472,472,500
95,81,92,94,83,445,445,500
83,92,99,90,91,455,455,500
85,89,91,82,93,440,440,500
80,96,92,82,93,443,443,500
84,96,89,94,87,450,450,500
82,97,84,80,97,440,440,500
91,82,94,81,85,433,433,500
99,90,93,81,82,445,445,500
98,99,88,84,92,461,461,500
82,85,88,82,84,421,421,500
85,94,82,90,89,440,440,500
99,93,96,84,90,462,462,500
98,86,99,86,89,458,458,500
97,84,88,80,80,429,429,500
99,89,93,98,84,463,463,500
92,96,87,97,82,454,454,500
80,98,90,91,97,456,456,500
97,92,86,85,95,455,455,500
97,83,93,93,83,449,449,500
98,97,85,85,94,459,459,500
87,94,88,91,96,456,456,500
80,95,96,88,83,442,442,500
90,85,82,83,91,431,431,500
84,92,92,84,86,438,438,500
84,80,93,83,81,421,421,500
81,92,90,86,90,439,439,500
99,86,89,85,95,454,454,500
87,89,95,97,94,462,462,500
90,88,96,93,82,449,449,500
91,84,99,86,90,450,450,500
80,90,87,83,87,427,427,500
99,82,83,92,90,446,446,500
88,88,99,89,85,449,449,500
97,97,85,82,94,455,455,500
88,89,94,91,83,445,445,500
94,82,81,84,95,436,436,500
98,98,92,97,97,482,482,500
94,97,99,84,86,460,460,500
96,92,84,99,92,463,463,500
93,91,81,92,81,438,438,500
86,97,97,81,94,455,455,500
90,97,98,89,93,467,467,500
93,84,82,82,84,425,425,500
84,95,82,90,97,448,448,500
82,98,85,91,89,445,445,500
90,99,94,87,92,462,462,500
97,89,83,88,88,445,445,500
97,94,98,80,98,467,467,500
97,86,88,80,87,438,438,500
86,82,99,81,97,445,445,500
95,90,90,93,98,466,466,500
83,86,97,82,93,441,441,500
92,80,90,92,86,440,440,500
89,85,84,85,89,432,432,500
83,86,82,83,93,427,427,500
83,96,86,87,94,446,446,500
90,96,98,94,91,469,469,500
96,97,92,80,89,454,454,500
96,97,91,94,95,473,473,500
93,88,83,80,92,436,436,500
91,82,90,84,89,436,436,500
87,81,88,82,87,425,425,500
96,97,94,92,94,473,473,500
93,85,87,82,85,432,432,500
99,91,86,96,83,455,455,500
81,80,89,95,83,428,428,500
98,83,83,88,96,448,448,500
84,90,94,85,93,446,446,500
91,92,84,80,95,442,442,500
99,87,97,96,86,465,465,500
93,89,93,91,95,461,461,500
89,98,86,98,96,467,467,500
95,95,96,99,85,470,470,500
85,84,86,96,80,431,431,500
85,97,84,93,91,450,450,500
95,99,81,99,93,467,467,500
92,87,83,95,83,440,440,500
88,82,93,91,83,437,437,500
95,89,96,91,93,464,464,500
96,82,82,82,81,423,423,500
85,97,97,94,82,455,455,500
96,84,82,97,94,453,453,500
80,86,93,85,96,440,440,500
97,99,94,87,80,457,457,500
92,93,89,80,85,439,439,500
92,83,83,80,88,426,426,500
82,88,98,98,86,452,452,500
92,83,85,89,93,442,442,500
94,94,80,98,85,451,451,500
92,84,92,83,96,447,447,500
85,84,86,83,83,421,421,500
88,97,93,87,86,451,451,500
89,97,86,87,90,449,449,500
91,82,82,90,91,436,436,500
82,83,92,95,96,448,448,500
93,92,87,82,84,438,438,500
84,85,94,85,92,440,440,500
82,85,88,80,80,415,415,500
89,97,90,99,97,472,472,500
87,80,98,98,93,456,456,500
83,93,95,96,87,454,454,500
86,84,87,86,80,423,423,500
83,98,96,82,90,449,449,500
99,97,81,89,83,449,449,500
91,81,91,81,87,431,431,500
81,98,88,92,90,449,449,500
94,86,87,80,88,435,435,500
88,95,82,80,94,439,439,500
84,95,91,82,94,446,446,500
86,88,94,80,96,444,444,500
84,92,97,81,90,444,444,500
94,84,87,93,99,457,457,500
80,82,94,91,93,440,440,500
81,96,85,99,93,454,454,500
80,93,82,91,82,428,428,500
87,98,83,96,84,448,448,500
88,88,92,87,96,451,451,500
92,94,83,83,96,448,448,500
95,96,99,95,82,467,467,500
82,95,91,87,82,437,437,500
88,85,96,91,85,445,445,500
90,97,97,84,99,467,467,500
87,86,98,80,93,444,444,500
89,92,82,89,96,448,448,500
92,91,86,82,86,437,437,500
96,88,83,99,84,450,450,500
87,82,98,95,84,446,446,500
87,81,92,89,82,431,431,500
80,98,87,82,89,436,436,500
83,94,89,87,82,435,435,500
89,90,99,89,89,456,456,500
98,98,88,80,92,456,456,500
87,91,83,87,86,434,434,500
96,83,90,98,84,451,451,500
87,95,84,83,85,434,434,500
85,95,98,94,86,458,458,500
85,91,92,95,93,456,456,500
96,95,80,83,87,441,441,500
90,86,98,94,84,452,452,500
80,80,99,97,87,443,443,500
80,83,87,99,81,430,430,500
99,97,97,93,86,472,472,500
83,95,94,96,87,455,455,500
98,85,84,89,86,442,442,500
95,88,94,82,97,456,456,500
83,94,94,91,90,452,452,500
88,80,87,87,85,427,427,500
93,83,84,82,82,424,424,500
81,87,95,94,88,445,445,500
93,98,85,98,94,468,468,500
99,80,96,98,83,456,456,500
98,83,80,90,84,435,435,500
93,94,96,82,92,457,457,500
90,86,99,92,86,453,453,500
92,93,93,98,97,473,473,500
97,97,99,96,95,484,484,500
82,93,93,87,97,452,452,500
95,80,88,92,96,451,451,500
81,94,88,96,86,445,445,500
84,83,81,96,81,425,425,500
93,83,86,82,90,434,434,500
